Year,Age,Actor,Sex,Film,nominations,rating,duration,genre1,genre2,release,synopsis
2007,33,Marion Cotillard,F,La Vie en Rose,3,7.7,140,Biography,Drama,February,The life story of singer Édith Piaf.
2008,48,Sean Penn,M,Milk,8,7.6,128,Biography,Drama,January,The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became Californias first openly gay elected official.
2008,33,Kate Winslet,F,The Reader,5,7.6,124,Drama,Romance,January,Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.
2009,60,Jeff Bridges,M,Crazy Heart,3,7.3,112,Drama,Music,February,A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.
2009,45,Sandra Bullock,F,The Blind Side,2,7.7,129,Biography,Drama,November,The story of Michael Oher a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.
2010,50,Colin Firth,M,The King's Speech,12,8,118,Biography,Drama,December,The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
2010,29,Natalie Portman,F,Black Swan,5,8,108,Drama,Thriller,December,"A committed dancer wins the lead role in a production of Tchaikovskys ""Swan Lake"" only to find herself struggling to maintain her sanity."
2011,39,Jean Dujardin,M,The Artist,10,8,100,Comedy,Drama,October,A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.
2011,62,Meryl Streep,F,The Iron Lady,2,6.4,105,Biography,Drama,January,An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life from girlhood to British prime minister intervene.
2012,55,Daniel Day-Lewis,M,Lincoln,12,7.4,150,Biography,Drama,November,As the Civil War continues to rage Americas president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.
2012,22,Jennifer Lawrence,F,Silver Linings Playbook,8,7.8,122,Comedy,Drama,November,After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own.
2013,44,Matthew McConaughey,M,Dallas Buyers Club,6,8,117,Biography,Drama,November,In 1985 Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.
2013,44,Cate Blanchett,F,Blue Jasmine,3,7.3,98,Drama,,August,A New York socialite deeply troubled and in denial arrives in San Francisco to impose upon her sister. She looks a million but isnt bringing money peace or love...
2014,33,Eddie Redmayne,M,The Theory of Everything,5,7.7,123,Biography,Drama,January,A look at the relationship between the famous physicist Stephen Hawking and his wife.
2014,54,Julianne Moore,F,Still Alice,,7.5,101,Drama,,February,A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimers Disease.
2015,41,Leonardo DiCaprio,M,The Revenant,12,7.9,156,Drama,Action,January,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
2015,26,Brie Larson,F,Room,4,8.2,118,Drama,Thriller,January,ROOM tells the extraordinary story of Jack. a spirited 5-year-old who is looked after by his loving and devoted mother.
2016,41,Casey Affleck,M,Manchester by the Sea,6,8.8,137,Drama,,January,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
2016,28,Emma Stone,F,La La Land,11,8.6,128,Drama,Romance,December,While navigating their careers in Los Angeles. a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.
