nombre,edad,altura,peso,posiciones,pie preferido,velocidad,disparo,pase,manejo,defensa,estado fisico
Anderson Patric Aguiar Oliveira,31,189,82,ST,Derecho,63,71,56,65,33,78
Aden Flint,29,197,83,CB,Derecho,49,49,43,41,71,82
José Ignacio Peleteiro Ramallo,28,180,70,RW,Izquierdo,69,68,72,75,31,58
Alejandro Martínez Sánchez,28,176,67,LB,Izquierdo,75,59,68,70,68,67
Oliver Kragl,29,180,77,"LM, CM, LWB",Izquierdo,81,71,67,73,51,78
Gabriel Agustín Hauche,32,168,71,"LM, ST, LW",Derecho,86,70,68,75,44,67
Fabio Lucioni,31,186,80,CB,Derecho,54,33,48,50,73,72
Pablo Hervías Rubio,26,174,68,"RM, LM",Derecho,81,64,69,77,40,50
Evanildo Fernandes Gomes,33,174,77,LM,Izquierdo,81,68,70,75,57,60
Iván Sánchez Aguayo,26,174,64,"RM, LM",Izquierdo,91,59,66,77,34,52
Dieumerci N'Dongala,28,170,59,"RW, RM",Derecho,88,60,67,77,27,46
Edigar Junio Teixeira Lima,28,174,72,"ST, RW, LW",Derecho,89,72,64,74,21,64
Luca Ceppitelli,29,189,83,CB,Derecho,54,33,35,40,75,74
Erik Berg,30,192,89,CB,Derecho,54,49,56,58,72,77
Kalifa Coulibaly,27,197,87,ST,Derecho,74,72,60,61,27,73
Tristan Dingomé,28,174,71,"CAM, CM",Izquierdo,68,64,72,74,65,70
Roman Bezus,28,186,82,"CAM, CM",Derecho,65,68,75,72,46,70
Roberto Torres Morales,30,178,72,"RM, LM, CAM",Derecho,63,74,73,71,59,71
Matt Hedges,29,193,84,CB,Derecho,51,28,51,52,71,84
Sebastian Andersson,27,190,86,ST,Derecho,65,69,49,65,25,75
Miler Alejandro Bolaños Reascos,29,172,65,"RM, CAM, ST",Derecho,81,70,66,74,25,63
El-Hadji Baye Oumar Niasse,29,182,82,ST,Derecho,73,72,55,72,29,69
Roman Zozulya,29,180,75,ST,Derecho,76,71,58,66,44,81
Peter Ankersen,28,179,75,RB,Derecho,84,62,67,71,67,71
Romário Ricardo da Silva,28,174,69,"ST, LM",Derecho,85,68,67,78,30,56
Gerso Fernandes,28,173,64,"LW, RW",Izquierdo,93,66,62,76,41,50
Souleymane Doukara,27,186,85,ST,Derecho,67,73,64,69,27,71
Salem Al Dawsari,27,174,68,"LM, RM",Derecho,81,69,66,76,45,75
Vincent Laurini,30,173,72,RB,Derecho,75,33,60,68,72,68
Víctor Rodríguez Romero,29,167,65,"LM, RM, CAM",Derecho,74,70,71,75,43,60
Alexandru Iulian Maxim,28,177,73,"CAM, CM, LM",Derecho,69,67,71,78,32,53
Pedro Miguel Martins Santos,31,173,63,"RM, CAM, LM",Izquierdo,78,67,70,73,59,61
Christopher Paolo César Hurtado Huertas,28,176,72,CAM,Derecho,81,71,71,75,44,59
Gianluca Lapadula,29,178,69,ST,Izquierdo,73,71,57,73,24,64
Álejandro Gallar Falguero,27,176,71,RM,Izquierdo,74,72,72,73,42,62
Jérôme Gondorf,31,176,81,"CM, CDM",Derecho,65,63,73,72,67,78
Adis Jahović,32,191,90,ST,Derecho,63,73,48,64,33,76
김승대 金承大,28,175,64,"ST, CAM",Derecho,88,67,67,73,53,66
Laurent Depoitre,30,191,91,ST,Derecho,48,71,59,63,43,79
金崎 夢生,30,180,70,ST,Derecho,79,70,67,71,35,82
Antonio José Rodríguez Díaz,27,183,77,"LM, RM",Derecho,78,71,65,74,40,67
Arsénio Martins Lafuente Nunes,29,180,73,"RW, LW",Derecho,74,67,69,76,36,64
Ayron Del Valle Rodríguez,30,175,65,"ST, RM",Derecho,78,73,62,75,37,68
Esteban Andres Pavez Suazo,29,180,76,"CM, CDM",Derecho,78,67,66,72,69,84
Danilo Moreno Asprilla,30,177,77,"ST, RW, LM",Derecho,81,72,67,77,34,75
Fredy Hinestroza Arias,29,178,70,"LM, RM",Izquierdo,88,63,67,76,43,65
Andrés Felipe Correa Osorio,34,180,74,CB,Derecho,68,48,51,55,73,77
John Stiven Mendoza Valencia,27,171,70,"LM, LW",Izquierdo,90,67,64,78,29,65
Jhon Stefan Medina Ramírez,27,180,69,"RB, CB",Derecho,75,49,65,68,72,77
Sherman Andrés Cárdenas Estupiñán,29,168,65,"CAM, RM, LM",Izquierdo,79,69,71,74,42,57
Víctor Hugo Ayala Núñez,31,177,70,"CM, CDM",Derecho,69,74,71,73,68,75
Nicolás Pasquini,28,176,76,"LB, LWB",Izquierdo,75,63,75,68,68,71
Gastón Lezcano,32,168,65,"RM, LM, RW",Derecho,80,70,66,74,24,69
Federico Lértora,28,176,73,CDM,Derecho,64,51,63,65,77,76
Leonardo Jara,28,185,82,"RB, RWB",Derecho,73,53,67,70,69,78
Antonio Di Gaudio,29,169,63,LW,Derecho,89,60,65,80,31,46
Anderson Daniel Plata Guillén,28,173,65,"RW, ST, RM",Derecho,91,68,57,75,42,69
Kendall Jamaal Waston Manley,31,196,88,CB,Derecho,44,30,44,43,71,82
Aníbal Cesis Godoy,29,183,82,"CDM, CM",Izquierdo,40,58,65,67,66,75
原口 元気,28,177,68,"RM, LM",Derecho,85,59,66,79,44,51
Facundo Sánchez,29,176,77,"RB, RM, RWB",Derecho,90,60,60,73,68,71
Sergio Javier Vittor,30,189,86,CB,Derecho,48,60,63,61,71,79
Andrés Mosquera,29,182,80,"CB, RB",Derecho,75,42,57,53,72,75
Matías Pisano,27,166,61,"RW, CAM, RM",Izquierdo,78,67,70,78,42,46
Didier Delgado,26,185,70,"RM, RB",Derecho,88,63,65,69,60,71
Jonatan Cristaldo,30,175,73,ST,Derecho,74,71,62,74,28,70
Federico Melchiorri,32,183,76,ST,Derecho,79,71,54,70,35,65
Michael David Barrios Puerta,28,162,65,"RM, RW, ST",Derecho,92,66,66,74,45,51
Themba Zwane,29,170,75,"LW, CAM, RW",Derecho,78,63,71,75,49,62
Rolando García Guerreño,29,185,76,CB,Derecho,52,41,47,48,72,78
Andrés Ibargüen,27,168,63,"LM, LW",Derecho,90,63,66,78,36,45
Cesar Fernando Silva Melo,29,177,74,"LW, RW, CM",Derecho,73,73,70,73,30,62
António Manuel Pereira Xavier,26,176,66,"LW, RW",Izquierdo,81,68,70,74,34,60
Andrei Girotto,27,186,79,"CDM, CM",Derecho,59,66,66,68,74,71
Joaquín Laso,28,185,80,"CB, RB",Derecho,62,41,51,54,69,83
Júlio César Pires Feitosa,31,180,82,RB,Derecho,70,48,62,65,74,77
Vinicius Lúcio Cardenha Caeiro,27,179,73,"RB, CB",Derecho,75,49,60,68,71,71
Ailton Jonas Valpaços Salazar,27,186,79,"CB, CDM",Derecho,66,58,60,63,71,78
Juliano Wagner Mascarinhas Concp.,35,183,80,CDM,Derecho,64,53,65,63,73,75
Gustavo Rafael Lobateiro Gomes,31,180,76,"CAM, ST, CF",Izquierdo,80,65,68,72,33,57
Evandro Sérgio Rochedo Paulino,35,187,82,ST,Derecho,57,75,60,70,36,67
Michel David Cruceiro Muscato,27,185,82,"CDM, CM",Izquierdo,60,64,68,64,71,78
Oswaldo Germano Cuba Correia,35,170,68,"LB, CAM, LM",Izquierdo,88,68,68,77,67,57
Mauro Pierre Cildinho Conradi,35,172,64,RB,Derecho,74,46,68,75,69,58
Éder Marvin Oliveira Simão,27,183,79,CB,Derecho,56,46,59,50,73,75
Paolito Jesus Serra Fonseca,27,191,88,CB,Derecho,38,47,49,49,74,71
Pietro Maurício Mendes Abranches,35,173,64,"CAM, ST",Izquierdo,82,69,73,74,43,53
Luis David Couprins Acuna,31,177,72,CDM,Derecho,75,65,66,62,74,67
Marcos Alam Paneira Almeida,31,182,73,"CDM, CM, RM",Derecho,57,57,67,68,75,72
Gustavo Rafael Outomouro Tófoli,35,175,73,"ST, LM",Derecho,74,72,68,73,28,62
Benjamin Chris Meseira Zonta,35,180,75,RB,Derecho,79,45,61,69,69,73
Carlos de Pena,27,177,70,LM,Izquierdo,75,60,70,72,27,51
Nejc Skubic,30,178,75,RB,Derecho,71,53,65,71,72,73
Carlos Andrés Peralta Barrios,29,178,79,ST,Derecho,74,72,51,70,29,60
森岡 弘良太,28,180,79,"CAM, CF",Derecho,58,71,75,71,37,60
塩谷 司,30,182,80,"LB, CB, CDM",Derecho,69,58,61,56,72,81
Diego Martín Zabala Morales,27,172,64,RM,Derecho,71,74,72,73,41,65
Bakaye Dibassy,29,183,74,"LB, CB",Izquierdo,74,54,61,70,72,76
Efecan Karaca,29,166,56,"RM, CAM",Derecho,83,63,65,78,44,50
Dimitri Liénard,31,184,77,"CM, LWB",Izquierdo,63,72,77,71,56,67
Douglas Arthur Armeira Bahia,27,174,74,RB,Derecho,72,57,63,69,72,74
Mehdi Taremi,26,187,80,ST,Derecho,64,72,60,71,33,62
Anthony Alfárnez,34,182,78,ST,Derecho,79,70,56,72,30,72
Víctor Sabanter,31,173,72,"CDM, CM, RM",Derecho,66,48,66,65,71,76
Erick Lardero,30,177,79,ST,Derecho,76,74,55,66,24,77
Thiago Almada,18,171,62,"CAM, LW, ST",Derecho,86,70,66,76,37,55
Alphonso Davies,18,181,72,"LM, RM, LB",Izquierdo,91,65,61,76,55,70
Yari Verschaeren,17,172,63,"CAM, RM, LM",Derecho,70,63,70,78,39,53
Javairô Dilrosun,21,174,74,"LM, RM",Izquierdo,89,63,61,76,44,52
Alexis Claude Maurice,21,174,62,"LM, CAM",Derecho,89,69,63,74,37,51
Boubakary Soumaré,20,188,82,"CM, CDM",Derecho,69,56,67,74,67,71
Reiss Nelson,19,175,71,"RW, LW, LM",Derecho,88,65,60,79,34,47
João Pedro Neves Filipe,20,175,67,"LM, RM, CF",Derecho,85,64,65,79,32,50
Diego Lainez Leyva,19,167,58,"RM, LM, CAM",Izquierdo,84,63,64,79,47,53
Maximillian James Aarons,19,178,73,RB,Derecho,83,41,60,73,70,64
Mateus Tetê,19,175,67,"LM, CAM",Izquierdo,83,60,65,79,29,58
Daniel James,21,170,76,"LM, LW, RM",Derecho,94,61,63,73,27,57
Sean Longstaff,21,180,65,"CM, CAM",Derecho,63,65,68,67,60,60
Alessandro Bastoni,20,190,80,CB,Izquierdo,51,33,43,42,76,66
Mickaël Cuisance,19,181,74,CM,Izquierdo,71,67,77,75,53,54
Dennis Man,20,183,82,"RM, RW",Izquierdo,86,68,64,71,31,72
Nuno Albertino Varela Tavares,19,183,76,"LB, RB",Izquierdo,87,51,58,72,67,74
Marvin Mehlem,21,174,67,"CAM, LM",Derecho,74,60,68,78,49,57
Braian Cufré,22,179,82,"LB, LWB",Izquierdo,79,62,69,74,67,76
Jamal Lewis,21,177,70,LB,Izquierdo,79,51,60,70,70,66
Ayrton Lucas Dantas de Medeiros,22,180,72,LB,Izquierdo,84,53,63,75,66,76
Fikayo Tomori,21,185,75,CB,Derecho,80,35,55,65,71,71
Diogo Filipe Monteiro Pinto Leite,20,188,73,CB,Izquierdo,60,38,45,55,73,70
Iván Gómez,22,167,60,"CDM, CM",Derecho,65,52,63,71,70,71
Ovie Ejaria,21,183,75,"CM, LM",Derecho,71,61,69,77,63,64
Anthony Caci,22,184,70,"CB, LWB",Derecho,73,48,65,67,72,70
Jordan Torunarigha,21,191,80,"CB, LB",Izquierdo,74,33,53,61,73,72
Gastón Alberto Togni,21,173,76,"LW, LM",Izquierdo,81,67,64,76,43,66
Szymon Żurkowski,21,185,77,CM,Derecho,81,62,67,69,70,81
Andreas Skov Olsen,19,188,75,"RW, ST",Izquierdo,84,72,63,73,35,68
Nicolás Iván González,21,180,72,"ST, LM",Izquierdo,79,65,61,78,38,63
Colin Dagba,20,170,62,RB,Derecho,83,50,68,77,68,57
Perr Schuurs,19,193,79,CB,Derecho,66,62,65,62,72,71
Cody Mathès Gakpo,20,187,76,"RW, LW",Derecho,81,68,68,75,32,63
Tudor Băluță,20,191,80,"CDM, CB",Derecho,62,50,58,50,69,75
Aihen Muñoz Capellán,21,175,72,"LB, LW",Izquierdo,75,53,66,71,72,65
Sebastiano Luperto,22,191,75,CB,Izquierdo,51,55,60,59,74,70
Juan Cruz Komar,22,189,82,CB,Derecho,54,33,49,45,73,77
Jérémie Boga,22,174,72,"LM, RM, ST",Derecho,78,69,66,77,37,61
Jorge Sáenz de Miera,22,192,75,CB,Derecho,66,42,62,63,71,77
Scott McKenna,22,189,80,CB,Izquierdo,61,33,44,44,70,84
Benjamin Tetteh,21,193,90,ST,Derecho,78,66,53,71,24,73
Leonardo Duarte da Silva,22,183,76,"CB, RB",Derecho,57,35,36,53,74,74
Lucas Fernandes da Silva,21,175,67,"CM, CAM",Derecho,73,69,72,77,52,60
Fodé Ballo-Touré,22,182,73,"LB, LM",Izquierdo,82,46,69,71,68,67
Luca Vido,22,182,75,"ST, CF",Derecho,69,70,62,71,34,63
Konstantinos Galanopoulos,21,172,72,"CDM, CM",Derecho,73,51,67,72,69,66
Kevin Rüegg,20,173,77,"RB, CDM",Derecho,81,42,64,70,68,78
Omar Federico Alderete Fernández,22,188,77,"CB, LB",Izquierdo,62,59,62,61,71,78
Manuel Morlanes Ariño,20,178,75,CM,Derecho,66,62,72,72,60,62
Hüseyin Türkmen,21,183,78,CB,Derecho,73,37,49,56,73,72
Matt Targett,23,183,70,"LB, LWB",Izquierdo,72,42,69,70,70,64
Jérôme Junior Onguéné,21,186,78,CB,Derecho,68,30,40,55,72,77
Adrián Marín Gómez,22,181,73,LB,Izquierdo,64,46,64,70,72,70
Jhon Murillo,23,171,66,"RW, ST, LW",Derecho,92,67,57,77,30,48
Florian Ayé,22,184,75,ST,Derecho,84,70,52,69,24,74
Ronaldo Augusto Vieira Nan,20,178,70,"CDM, CM",Derecho,76,58,66,72,68,78
Luis Abram,23,181,76,CB,Izquierdo,63,41,54,55,72,74
Eduard Atuesta,22,180,71,"CDM, CM",Derecho,63,56,68,71,67,66
Sebastian Vasiliadis,21,175,75,"CM, CDM, CAM",Derecho,74,59,68,72,63,71
David Lischka,21,188,88,CB,Izquierdo,62,40,56,58,69,74
Alberto Cerri,23,194,91,ST,Derecho,59,72,54,68,39,75
Serhou Guirassy,23,187,82,"ST, LW",Derecho,71,68,59,73,36,71
Edimilson Fernandes,23,187,77,"CM, CDM",Derecho,72,67,67,71,60,72
Sebastián Ignacio Vegas Orellana,22,182,80,"CB, LB",Izquierdo,74,52,55,63,69,77
Stefan Posch,22,188,76,CB,Derecho,59,29,43,38,75,68
Daniele Verde,23,168,64,"RM, CF",Izquierdo,83,71,67,79,36,47
Mohamed Salim Fares,23,183,75,"LM, LB, LW",Izquierdo,78,62,66,75,65,69
Samuel Adegbenro,23,178,75,"LW, RW, ST",Derecho,89,66,61,76,41,70
Isaac Mbenza,23,187,77,"ST, RW",Derecho,87,70,68,72,36,66
Assane Dioussé El Hadji,21,175,68,"CM, CDM",Izquierdo,63,46,69,75,66,61
Emre Mor,21,169,64,"LW, ST, RW",Izquierdo,81,66,60,80,28,46
Adalberto Peñaranda,22,185,83,ST,Derecho,75,69,67,77,36,59
Lukas Mühl,22,189,83,CB,Derecho,74,37,60,58,69,74
Gonzalo Escobar,22,171,70,LB,Izquierdo,81,43,64,71,66,75
Myziane Maolida,20,182,76,"LW, ST",Derecho,83,67,62,76,24,56
Bernard Tekpetey,21,172,69,"RM, ST, LM",Derecho,83,64,62,77,30,61
Michael Amir Murillo Bermudez,23,183,77,"RB, CB",Derecho,81,49,63,70,68,79
Elvis Rexhbeçaj,21,182,73,"CM, LB",Izquierdo,66,58,70,72,64,65
Dimitris Limnios,21,180,71,"LM, RM",Derecho,81,67,65,75,33,57
Ionuț Nedelcearu,23,190,79,CB,Derecho,60,34,50,53,71,76
Braian Samudio,23,180,79,"LM, RM",Derecho,76,69,63,74,38,65
Brandon Thomas Llamas,24,173,71,"ST, LM",Derecho,77,73,62,76,32,61
Ben Davies,23,185,74,CB,Izquierdo,71,39,55,60,72,74
Fábio Rafael Rodrigues Cardoso,25,187,79,CB,Derecho,61,32,47,59,70,78
Francesco Vicari,24,190,80,CB,Derecho,34,27,49,45,74,69
Saúl García Cabrero,24,182,76,LB,Izquierdo,69,45,66,67,70,64
Josh Brownhill,23,178,69,"CM, CDM",Derecho,72,66,68,70,66,75
Omar Nicolás Govea García,23,174,74,"CDM, CM",Derecho,67,57,71,72,68,64
Carlos Armando Gruezo Arboleda,24,171,67,"CDM, CM",Derecho,59,46,62,66,69,76
Aaron Leya Iseka,21,183,82,ST,Derecho,84,73,61,71,27,72
Sergi Palencia Hurtado,23,168,67,RB,Derecho,79,56,62,71,69,73
Arturo Calabresi,23,186,75,"CB, RB",Derecho,59,30,48,54,73,71
Enock Kwateng,22,181,75,RB,Derecho,67,36,63,68,73,63
Russell Canouse,24,177,76,"CDM, CM",Derecho,67,51,62,66,70,76
Roland Sallai,22,183,76,LM,Derecho,74,67,67,74,37,58
Oghenekaro Etebo,23,176,70,"CM, CDM",Derecho,81,64,68,76,72,79
Didier Lamkel Zé,22,192,78,"RM, LM, CM",Derecho,84,65,71,71,50,72
Jerdy Schouten,22,185,72,"CDM, CM",Derecho,67,55,65,73,70,66
Marc Cardona Rovira,23,183,70,"ST, LM",Derecho,75,70,58,72,26,56
James Léa Siliki,23,183,70,"CM, CDM",Izquierdo,71,69,71,74,68,67
Gastón Nicolás Reniero,24,183,79,"ST, CAM, RM",Derecho,67,72,62,72,32,68
Luther Singh,21,171,63,"RW, LW",Derecho,87,68,61,77,29,42
Ignacio Vidal Miralles,24,180,75,"RB, RWB",Derecho,76,55,67,69,67,66
Michal Sáček,22,178,69,"CM, CDM, RB",Derecho,73,59,69,73,64,69
Denis Vavro,23,190,76,CB,Derecho,68,49,51,56,70,79
Dragoș Nedelcu,22,189,78,CDM,Derecho,69,54,62,62,69,76
Heriberto Moreno Borges Tavares,22,181,66,"LM, RM, ST",Izquierdo,79,74,63,76,30,62
Carlos Vinícius Alves Morais,24,190,83,ST,Izquierdo,71,71,49,66,25,70
Mathías Suárez,23,182,80,"RWB, RB",Derecho,77,42,60,60,73,76
Bradley de Nooijer,21,186,80,LB,Izquierdo,86,41,50,65,68,66
Ali Musrati,23,193,80,CDM,Derecho,53,51,66,65,69,76
Alfonso González,24,173,70,"CM, CAM",Izquierdo,76,70,71,72,65,67
Alberto Barison,24,186,78,CB,Derecho,65,42,51,53,72,69
Alen Halilović,23,169,69,"RW, CAM",Izquierdo,73,63,73,77,40,42
Ebenezer Ofori,24,172,70,"CM, CDM",Izquierdo,67,57,69,75,63,67
Carlos Alberto Carvalho Silva Jr.,23,176,66,"LW, ST, CAM",Derecho,73,70,65,77,30,48
Efthymios Koulouris,23,184,82,ST,Derecho,69,71,53,67,27,60
Benson Manuel,22,169,69,"LW, RW",Izquierdo,80,61,67,79,34,58
Zsolt Kalmár,24,185,78,"CAM, CM",Derecho,65,68,70,72,50,56
Orkan Çınar,23,174,70,RM,Izquierdo,79,66,70,77,25,60
Samuel Bastien,22,175,73,"CM, CAM",Derecho,71,61,72,76,59,66
Sofyan Amrabat,22,183,84,CM,Derecho,68,57,71,72,67,80
Juan Ferney Otero Tovar,24,182,70,"RM, ST, RW",Derecho,90,76,65,70,31,69
Daniel Crowley,21,170,71,"CAM, CM",Derecho,71,61,71,77,38,57
Marlos Moreno,22,171,67,"LW, RW",Derecho,88,64,63,77,27,52
Antonin Bobichon,23,178,75,"CM, LM",Derecho,73,72,72,73,56,66
Diego González Polanco,24,185,83,"CB, LB",Izquierdo,66,32,61,61,71,74
Jack Harper,23,186,78,"ST, CAM",Izquierdo,76,73,60,70,32,67
Aitor Cantalapiedra,23,177,67,RW,Izquierdo,81,65,68,74,28,54
Alessandro Murgia,22,185,78,"CM, CDM",Derecho,48,64,68,69,69,59
Konstantinos Tsimikas,23,175,68,"LB, LWB",Izquierdo,87,57,67,71,67,70
鈴木 優磨,23,182,75,"ST, LM, RM",Derecho,72,67,67,68,45,80
Jorge Sánchez,21,175,71,"LB, RB",Derecho,82,45,63,68,69,66
Domingos Sousa Coutinho Meneses Duarte,24,190,78,CB,Derecho,45,35,46,51,73,77
Jacinto Muondo Dala,22,175,65,"ST, CAM, RW",Derecho,86,71,57,76,27,62
Santiago Comesaña Veiga,22,184,73,"CM, CDM",Derecho,60,64,65,66,72,70
José Rodríguez,23,171,61,CDM,Izquierdo,69,44,66,66,69,69
Bassem  Srarfi,22,176,71,RW,Izquierdo,78,67,69,77,32,49
Leonardo Koutris,23,171,72,"LB, LM",Izquierdo,84,60,64,70,67,69
Lukáš Kalvach,23,183,77,CDM,Derecho,71,60,67,70,70,71
Cheick Doukouré,26,180,82,"CDM, CM",Derecho,68,62,65,67,72,76
Josh Murphy,24,173,67,"LM, ST, RM",Derecho,85,66,64,76,26,52
Simon Tibbling,24,175,74,"CM, LW",Derecho,70,56,71,74,62,68
Ben Osborn,24,176,75,"LWB, LB, LM",Izquierdo,76,64,70,72,64,60
Corentin Jean,23,170,66,"RM, ST",Derecho,80,68,68,75,31,54
Matt Grimes,23,178,70,"CM, CDM",Izquierdo,60,56,73,71,62,62
Jordan Jones,24,174,61,"LM, LW, CAM",Derecho,91,57,66,76,40,49
Iver Fossum,22,180,73,"CM, CAM, CDM",Derecho,70,63,68,73,63,71
Boli Bolingoli,24,180,73,"LB, LW",Izquierdo,90,63,61,70,65,79
Daley Sinkgraven,23,179,65,"LB, CM",Izquierdo,79,59,74,79,66,62
Julien De Sart,24,186,73,"CDM, CM",Derecho,54,62,72,67,69,70
Didier  Ndong Ibrahim,25,179,75,"CDM, CM",Derecho,69,60,63,71,69,76
Stipe Perica,23,192,80,ST,Derecho,66,69,49,65,27,70
David Costas Cordal,24,184,71,CB,Derecho,64,43,64,65,72,65
Mohamed Kanno,24,191,71,"CDM, CM",Derecho,71,69,68,72,68,76
Federico Mattiello,23,184,70,"RM, LM",Izquierdo,75,64,71,74,69,65
Luca Mazzitelli,23,187,76,"CM, CDM",Derecho,57,55,71,71,64,63
Carlos Martín Vigaray,24,182,70,RB,Derecho,72,49,61,69,71,70
Peter Michorl,24,176,71,"CM, CDM",Izquierdo,67,64,72,68,66,68
Chadrac Akolo,24,172,72,"RM, CAM, ST",Derecho,81,68,63,78,26,61
Smail Prevljak,24,187,80,"ST, CAM",Derecho,71,72,61,70,23,73
Juan Muñoz Muñoz,23,187,78,ST,Derecho,67,74,52,71,21,64
Marvin Gakpa,25,182,70,"CM, LM",Izquierdo,79,63,71,75,50,62
Nuno Miguel Gomes dos Santos,24,179,73,"LW, RW",Izquierdo,78,70,68,75,33,56
Jean Evrard Kouassi,24,174,67,"LW, LM",Derecho,83,72,54,75,25,59
Christopher Ikonomidis,24,180,73,"ST, LW",Derecho,82,70,68,77,51,66
Maksym Malyshev,26,181,76,CDM,Derecho,71,65,66,68,67,74
Kristian Pedersen,24,191,83,"LWB, LB, CB",Izquierdo,67,36,57,65,74,79
Adama Diakhaby,22,184,74,"RW, LW",Izquierdo,87,69,64,73,23,54
Nana Opoku Ampomah,23,175,68,"LM, ST",Derecho,85,67,61,77,27,66
Carlos Antonio de Souza Júnior,24,176,74,"ST, LW, LM",Derecho,87,68,61,75,29,67
Matías de los Santos,26,184,83,CB,Derecho,52,55,55,54,69,84
Bryan Acosta,25,175,73,"CM, LM",Derecho,84,70,68,68,66,80
Artem Besedin,23,185,76,ST,Derecho,71,67,48,67,41,67
Aleš Čermák,24,180,75,"CAM, CM",Izquierdo,66,63,72,72,43,61
Gabriel Fernández,25,186,80,ST,Derecho,66,71,59,67,52,78
Marvin Ducksch,25,188,79,ST,Derecho,67,71,58,66,34,68
André Hoffmann,26,190,84,"CB, CDM",Derecho,46,38,57,56,72,69
Nick Powell,25,183,65,CAM,Derecho,67,70,66,72,47,64
Tomáš Kalas,26,183,80,CB,Derecho,73,49,53,63,71,74
Diego Santiago Fagúndez Pepe,24,173,64,"CAM, LM, CM",Derecho,75,67,69,76,43,59
Marcel Franke,26,193,90,CB,Derecho,50,31,42,44,72,78
Iván López Mendoza,25,175,69,"RB, RWB",Derecho,73,57,68,71,71,66
Patrick Bamford,25,185,71,ST,Izquierdo,71,69,63,71,35,68
Cristian Benavente,25,172,68,"CAM, LM, CF",Izquierdo,73,69,68,74,34,45
Kristoffer Peterson,24,185,79,LM,Derecho,77,74,66,75,33,61
Ramon Olamilekan Azeez,26,170,67,"CDM, CM, CAM",Derecho,68,57,65,67,68,70
Uroš  Radaković,25,192,87,CB,Derecho,52,33,45,43,71,77
John Swift,24,182,73,"CAM, CM",Derecho,63,67,72,73,56,54
Steven Moreira,24,179,75,"RB, CB",Derecho,68,32,67,65,71,67
Simon Gustafson,24,185,78,"CM, CAM",Izquierdo,66,71,71,72,52,72
Paulo César Díaz Huincales,24,180,70,"CB, CDM, RB",Derecho,77,41,63,64,70,75
Sebastian Schonlau,24,185,77,CB,Derecho,66,36,52,56,72,72
Agustín Allione,24,169,69,"RM, LM, CAM",Derecho,80,62,70,73,34,61
Pieter Gerkens,24,179,67,"CAM, CF, CM",Derecho,58,70,70,68,66,67
Erik Nascimento de Lima,24,170,64,"ST, RW, LW",Derecho,84,71,65,76,23,44
Marios Oikonomou,26,189,85,CB,Derecho,59,24,46,49,73,75
Josip Elez,25,189,87,CB,Derecho,58,60,61,62,71,75
Daniel Pedro Calvo San Román,25,190,82,CB,Derecho,49,46,55,50,69,79
Vyacheslav Karavaev,24,175,70,RB,Derecho,77,59,70,69,68,68
Saîf-Eddine Khaoui,24,182,68,"CAM, RM",Izquierdo,72,64,73,74,38,54
Alexandre Mendy,25,184,86,ST,Derecho,71,73,51,64,24,79
Mattia Bani,25,188,81,CB,Derecho,60,18,38,52,73,72
Mamadou Jean-Luc Diarra Dompé,23,170,65,"LW, RW",Derecho,76,68,71,75,37,59
Carlos Apna Embaló,24,175,74,"LM, RW, CAM",Izquierdo,91,63,64,75,28,64
Cristian Omar Espinoza,24,173,70,"RM, LM, RW",Derecho,79,66,68,75,37,63
Ivo Tiago dos Santos Rodrigues,24,179,72,"LM, RM",Derecho,77,68,68,78,39,63
Anderson José Lopes de Souza,25,185,82,"ST, RW, LW",Izquierdo,87,73,60,70,30,77
László Kleinheisler,25,173,70,"CAM, CDM",Derecho,74,67,69,72,60,70
Simen  Kristiansen Juklerød,25,187,80,"LB, RM, LM",Izquierdo,82,63,66,71,65,75
Nikola Dovedan,24,172,71,"CF, CAM, LM",Derecho,79,68,64,78,34,57
Pierre-Yves Hamel,25,189,76,ST,Derecho,62,73,49,65,26,60
Nazim Sangaré,25,185,72,RB,Derecho,90,40,61,71,68,69
Félix Eboa Eboa,22,186,80,CB,Derecho,56,44,54,56,72,71
Andy Aryel Najar Rodríguez,26,170,69,"RB, RM, CB",Derecho,74,65,71,74,71,65
Bruno Martins Indi,27,185,76,"CB, LB",Izquierdo,54,42,58,57,71,78
Magomed Ozdoev,26,184,78,"CM, CDM",Derecho,74,65,68,73,68,72
Muhamed Bešić,26,180,80,"CM, CDM",Derecho,63,54,67,74,70,74
Frederik Hillesborg Sørensen,27,194,88,"CB, RB",Derecho,59,33,61,60,70,76
Hannes Van Der Bruggen,26,180,74,"CDM, CM",Derecho,50,62,72,68,68,68
Mats  Møller Dæhli,24,175,73,"LM, RM, CAM",Derecho,78,53,67,80,23,48
Jean-Christophe Bahebeck,26,182,76,"ST, LW",Derecho,74,71,70,73,37,66
Britt Assombalonga,26,178,78,ST,Derecho,77,71,57,66,38,72
Ismaël Tiémoko Diomandé,26,183,82,"CDM, CB",Derecho,64,55,64,67,70,75
Frédéric Veseli,26,183,80,"CB, RB, LB",Derecho,73,41,58,65,72,69
Tetchi Jores Charlemagne Ulrich Okore,26,183,80,CB,Derecho,72,42,52,59,67,84
George Saville,26,176,73,"CM, LWB",Izquierdo,64,66,69,71,68,76
Michael Frey,24,189,89,ST,Derecho,64,72,57,65,30,87
